Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers
95,B_10kB,10240,1.003629446029663,10202.9688751254,1854,853,1001,1
96,B_10kB,10240,1.0032932758331299,10206.387550536261,595,477,118,1
97,B_10kB,10240,1.0039355754852295,10199.857690121926,713,459,254,1
98,B_10kB,10240,1.0039660930633545,10199.54764483646,1832,994,838,1
99,B_10kB,10240,0.15143418312072754,67620.13561915798,1119,824,295,1
100,B_10kB,10240,2.005167245864868,5106.805939064343,1850,1001,849,1
101,B_10kB,10240,1.003502607345581,10204.258489259313,1421,652,769,1
102,B_10kB,10240,1.0037200450897217,10202.047921723686,1019,760,259,1
103,B_10kB,10240,1.0086784362792969,10151.89740525454,1810,753,1057,1
104,B_10kB,10240,1.0054535865783691,10184.458175585663,1185,530,655,1
105,B_10kB,10240,1.0087757110595703,10150.91847249612,1328,724,604,1
106,B_10kB,10240,1.0063390731811523,10175.496781249081,1982,1085,897,1
107,B_10kB,10240,1.003206729888916,10207.26804846481,1194,354,840,1
108,B_10kB,10240,1.0046358108520508,10192.748346602597,1353,844,509,1
109,B_10kB,10240,1.0031077861785889,10208.274864468967,1987,713,1274,1
110,B_10kB,10240,1.003936767578125,10199.84557862419,1294,432,862,1
111,B_10kB,10240,1.006819486618042,10170.641446756938,884,640,244,1
112,B_10kB,10240,1.0073997974395752,10164.782667245081,1801,568,1233,1
113,B_10kB,10240,1.008540153503418,10153.28935038311,1944,932,1012,1
114,B_10kB,10240,1.0047483444213867,10191.60674098647,645,542,103,1
115,B_10kB,10240,0.6532866954803467,15674.58830991616,10240,0,10240,1
116,B_10kB,10240,1.0283429622650146,9957.767375045298,10240,0,10240,1
117,B_10kB,10240,1.024935007095337,9990.877401114567,10240,0,10240,1
118,B_10kB,10240,1.009885311126709,10139.765265597769,10240,0,10240,1
119,B_10kB,10240,1.0142595767974854,10096.034816188474,10240,0,10240,1
120,B_10kB,10240,1.0038375854492188,10200.853353600609,1246,779,467,1
121,B_10kB,10240,1.007784128189087,10160.906203593937,1373,649,724,1
122,B_10kB,10240,1.0041489601135254,10197.690190150974,1724,932,792,1
123,B_10kB,10240,1.0030386447906494,10208.978540539936,10240,0,10240,1
124,B_10kB,10240,1.0063397884368896,10175.489549017448,1264,783,481,1
125,B_10kB,10240,1.0043611526489258,10195.53571242056,1564,763,801,1
126,B_10kB,10240,1.0033705234527588,10205.601779851493,10240,0,10240,1
127,B_10kB,10240,1.003408432006836,10205.216214418097,10240,0,10240,1
128,B_10kB,10240,1.0075347423553467,10163.421239511423,10240,0,10240,1
129,B_10kB,10240,1.009547472000122,10143.158478434347,10240,0,10240,1
130,B_10kB,10240,1.0047266483306885,10191.826818780346,10240,0,10240,1
131,B_10kB,10240,2.0057361125946045,5105.357547136954,2095,893,1202,1
132,B_10kB,10240,1.00437593460083,10195.385659125426,1305,1038,267,1
133,B_10kB,10240,1.0199437141418457,10039.769702993533,1589,700,889,1
134,B_10kB,10240,1.0041544437408447,10197.634501175171,1353,855,498,1
135,B_10kB,10240,1.0077588558197021,10161.161016710565,918,497,421,1
136,B_10kB,10240,1.0043959617614746,10195.182368158316,1682,672,1010,1
137,B_10kB,10240,1.0028457641601562,10210.94206702423,1293,936,357,1
