Run,Filename,File Size (B),Transfer Time (s),Throughput (B/s),Total Bytes,Bytes Sent,Bytes Received,Num Peers,Overhead Ratio
144,A_10kB,10240,5.065375566482544,6064.703317020248,10240,10240,0,1,0.3333333333333333
145,A_10kB,10240,5.021781921386719,6117.350470590916,10240,10240,0,1,0.3333333333333333
146,A_10kB,10240,5.065127849578857,6064.999919509283,10240,10240,0,1,0.3333333333333333
147,A_10kB,10240,5.110893249511719,6010.690988886318,10240,10240,0,1,0.3333333333333333
148,A_10kB,10240,5.213315010070801,5892.603830893925,10240,10240,0,1,0.3333333333333333
149,A_10kB,10240,5.067740201950073,6061.873493076639,10240,10240,0,1,0.3333333333333333
150,A_10kB,10240,5.095209360122681,6029.192880753449,10240,10240,0,1,0.3333333333333333
151,A_10kB,10240,5.078003406524658,6049.621778616432,10240,10240,0,1,0.3333333333333333
152,A_10kB,10240,5.0884339809417725,6037.220904321198,10240,10240,0,1,0.3333333333333333
153,A_10kB,10240,5.117962837219238,6002.38825037878,10240,10240,0,1,0.3333333333333333
154,A_10kB,10240,5.068496227264404,6060.9692939596725,10240,10240,0,1,0.3333333333333333
155,A_10kB,10240,5.05267858505249,6079.943436513064,10240,10240,0,1,0.3333333333333333
156,A_10kB,10240,5.1055006980896,6017.039623850204,10240,10240,0,1,0.3333333333333333
157,A_10kB,10240,5.085500717163086,6040.703110378668,10240,10240,0,1,0.3333333333333333
158,A_10kB,10240,5.105561017990112,6016.968535241095,10240,10240,0,1,0.3333333333333333
159,A_10kB,10240,5.170909643173218,5940.927635538444,10240,10240,0,1,0.3333333333333333
160,A_10kB,10240,5.059303522109985,6071.982016051927,10240,10240,0,1,0.3333333333333333
161,A_10kB,10240,5.057270288467407,6074.423206142224,10240,10240,0,1,0.3333333333333333
162,A_10kB,10240,5.025734186172485,6112.539752802931,10240,10240,0,1,0.3333333333333333
163,A_10kB,10240,5.067648887634277,6061.982722394363,10240,10240,0,1,0.3333333333333333
164,A_10kB,10240,5.212952136993408,5893.014014457821,10240,10240,0,1,0.3333333333333333
165,A_10kB,10240,5.10603666305542,6016.4080337052155,10240,10240,0,1,0.3333333333333333
166,A_10kB,10240,5.042940616607666,6091.683867708327,10240,10240,0,1,0.3333333333333333
167,A_10kB,10240,5.018218040466309,6121.694942762073,10240,10240,0,1,0.3333333333333333
168,A_10kB,10240,5.042634725570679,6092.053395067872,10240,10240,0,1,0.3333333333333333
169,A_10kB,10240,5.051371812820435,6081.51629662903,10240,10240,0,1,0.3333333333333333
170,A_10kB,10240,5.022799015045166,6116.11173530577,10240,10240,0,1,0.3333333333333333
171,A_10kB,10240,5.0338335037231445,6102.704822731771,10240,10240,0,1,0.3333333333333333
172,A_10kB,10240,5.086660861968994,6039.3253715185965,10240,10240,0,1,0.3333333333333333
173,A_10kB,10240,5.01251482963562,6128.660172409537,10240,10240,0,1,0.3333333333333333
174,A_10kB,10240,5.074266672134399,6054.076773043972,10240,10240,0,1,0.3333333333333333
175,A_10kB,10240,5.0547685623168945,6077.429583822377,10240,10240,0,1,0.3333333333333333
176,A_10kB,10240,5.197535514831543,5910.493523774539,10240,10240,0,1,0.3333333333333333
177,A_10kB,10240,5.041269302368164,6093.703422185581,10240,10240,0,1,0.3333333333333333
178,A_10kB,10240,5.014938592910767,6125.698137844899,10240,10240,0,1,0.3333333333333333
179,A_10kB,10240,5.113641023635864,6007.461192134619,10240,10240,0,1,0.3333333333333333
180,A_10kB,10240,5.099456548690796,6024.171341922086,10240,10240,0,1,0.3333333333333333
181,A_10kB,10240,5.149070978164673,5966.124788388485,10240,10240,0,1,0.3333333333333333
182,A_10kB,10240,5.13736629486084,5979.71766792855,10240,10240,0,1,0.3333333333333333
183,A_10kB,10240,5.088808059692383,6036.777107654757,10240,10240,0,1,0.3333333333333333
184,A_10kB,10240,5.1060144901275635,6016.434160027721,10240,10240,0,1,0.3333333333333333
185,A_10kB,10240,5.061568021774292,6069.265466323092,10240,10240,0,1,0.3333333333333333
186,A_10kB,10240,5.109027147293091,6012.886429126989,10240,10240,0,1,0.3333333333333333
187,A_10kB,10240,5.0147926807403564,6125.876373310944,10240,10240,0,1,0.3333333333333333
188,A_10kB,10240,5.017554044723511,6122.50505449071,10240,10240,0,1,0.3333333333333333
189,A_10kB,10240,5.021549224853516,6117.633946104777,10240,10240,0,1,0.3333333333333333
190,A_10kB,10240,5.088273048400879,6037.411850304407,10240,10240,0,1,0.3333333333333333
191,A_10kB,10240,5.035298824310303,6100.92887669041,10240,10240,0,1,0.3333333333333333
192,A_10kB,10240,5.038625001907349,6096.9014340958265,10240,10240,0,1,0.3333333333333333
193,A_10kB,10240,5.033186674118042,6103.489099255994,10240,10240,0,1,0.3333333333333333
194,A_10kB,10240,5.023800849914551,6114.892074299186,10240,10240,0,1,0.3333333333333333
195,A_10kB,10240,5.213742733001709,5892.120415829104,10240,10240,0,1,0.3333333333333333
196,A_10kB,10240,5.15491509437561,5959.36100548344,10240,10240,0,1,0.3333333333333333
197,A_10kB,10240,5.153554677963257,5960.934135686884,10240,10240,0,1,0.3333333333333333
198,A_10kB,10240,5.028626441955566,6109.0240753801945,10240,10240,0,1,0.3333333333333333
199,A_10kB,10240,5.024195194244385,6114.412122202617,10240,10240,0,1,0.3333333333333333
200,A_10kB,10240,5.104978084564209,6017.655608138118,10240,10240,0,1,0.3333333333333333
201,A_10kB,10240,5.015772342681885,6124.67988999164,10240,10240,0,1,0.3333333333333333
202,A_10kB,10240,5.033693790435791,6102.874207082116,10240,10240,0,1,0.3333333333333333
203,A_10kB,10240,5.027802228927612,6110.025534268542,10240,10240,0,1,0.3333333333333333
204,A_10kB,10240,5.032586097717285,6104.217474577174,10240,10240,0,1,0.3333333333333333
205,A_10kB,10240,5.108676195144653,6013.299498057178,10240,10240,0,1,0.3333333333333333
206,A_10kB,10240,5.02247953414917,6116.500782357912,10240,10240,0,1,0.3333333333333333
207,A_10kB,10240,5.017791271209717,6122.215600369892,10240,10240,0,1,0.3333333333333333
208,A_10kB,10240,5.020474195480347,6118.943909253732,10240,10240,0,1,0.3333333333333333
209,A_10kB,10240,5.015019416809082,6125.5994138396145,10240,10240,0,1,0.3333333333333333
210,A_10kB,10240,5.013228416442871,6127.787814184085,10240,10240,0,1,0.3333333333333333
211,A_10kB,10240,5.020108461380005,6119.389697718844,10240,10240,0,1,0.3333333333333333
212,A_10kB,10240,5.027767658233643,6110.067546516771,10240,10240,0,1,0.3333333333333333
213,A_10kB,10240,5.025383710861206,6112.966047469334,10240,10240,0,1,0.3333333333333333
214,A_10kB,10240,5.024200439453125,6114.405738825144,10240,10240,0,1,0.3333333333333333
215,A_10kB,10240,5.076411008834839,6051.519458636387,10240,10240,0,1,0.3333333333333333
216,A_10kB,10240,5.026250839233398,6111.9114390807845,10240,10240,0,1,0.3333333333333333
217,A_10kB,10240,5.041677236557007,6093.210366036617,10240,10240,0,1,0.3333333333333333
218,A_10kB,10240,5.026352643966675,6111.787647226543,10240,10240,0,1,0.3333333333333333
219,A_10kB,10240,5.02316951751709,6115.660618832676,10240,10240,0,1,0.3333333333333333
220,A_10kB,10240,5.03648042678833,6099.4975452708295,10240,10240,0,1,0.3333333333333333
221,A_10kB,10240,5.021531343460083,6117.655730658529,10240,10240,0,1,0.3333333333333333
222,A_10kB,10240,5.0230443477630615,6115.813015602917,10240,10240,0,1,0.3333333333333333
223,A_10kB,10240,5.034226179122925,6102.228804775735,10240,10240,0,1,0.3333333333333333
224,A_10kB,10240,5.020398378372192,6119.036316389022,10240,10240,0,1,0.3333333333333333
225,A_10kB,10240,5.020825386047363,6118.515908832326,10240,10240,0,1,0.3333333333333333
226,A_10kB,10240,5.044166088104248,6090.2039035644675,10240,10240,0,1,0.3333333333333333
227,A_10kB,10240,5.068850755691528,6060.54537421648,10240,10240,0,1,0.3333333333333333
228,A_10kB,10240,5.09714937210083,6026.898126263565,10240,10240,0,1,0.3333333333333333
229,A_10kB,10240,5.102844715118408,6020.171436725203,10240,10240,0,1,0.3333333333333333
230,A_10kB,10240,5.026782512664795,6111.264993582293,10240,10240,0,1,0.3333333333333333
231,A_10kB,10240,5.179866075515747,5930.655262538092,10240,10240,0,1,0.3333333333333333
232,A_10kB,10240,5.053232431411743,6079.277060172279,10240,10240,0,1,0.3333333333333333
233,A_10kB,10240,5.03037428855896,6106.901442675808,10240,10240,0,1,0.3333333333333333
234,A_10kB,10240,5.018468141555786,6121.38986110539,10240,10240,0,1,0.3333333333333333
235,A_10kB,10240,5.039144277572632,6096.273158266844,10240,10240,0,1,0.3333333333333333
236,A_10kB,10240,5.067679405212402,6061.946217119161,10240,10240,0,1,0.3333333333333333
237,A_10kB,10240,5.018422842025757,6121.445116729032,10240,10240,0,1,0.3333333333333333
238,A_10kB,10240,5.028918266296387,6108.669573312463,10240,10240,0,1,0.3333333333333333
239,A_10kB,10240,5.0190699100494385,6120.655928400369,10240,10240,0,1,0.3333333333333333
240,A_10kB,10240,5.020637273788452,6118.7451561939715,10240,10240,0,1,0.3333333333333333
241,A_10kB,10240,5.020901679992676,6118.422936344934,10240,10240,0,1,0.3333333333333333
242,A_10kB,10240,5.185751438140869,5923.924500903837,10240,10240,0,1,0.3333333333333333
243,A_10kB,10240,5.029611110687256,6107.828085301481,10240,10240,0,1,0.3333333333333333
244,A_10kB,10240,5.0311267375946045,6105.98810211792,10240,10240,0,1,0.3333333333333333
245,A_10kB,10240,5.040440559387207,6094.705341339209,10240,10240,0,1,0.3333333333333333
246,A_10kB,10240,5.0883214473724365,6037.354423797957,10240,10240,0,1,0.3333333333333333
247,A_10kB,10240,5.09850549697876,6025.295063073652,10240,10240,0,1,0.3333333333333333
248,A_10kB,10240,5.147748231887817,5967.657821667427,10240,10240,0,1,0.3333333333333333
249,A_10kB,10240,5.294229984283447,5802.5435410240925,10240,10240,0,1,0.3333333333333333
250,A_10kB,10240,5.118530511856079,6001.722550806936,10240,10240,0,1,0.3333333333333333
251,A_10kB,10240,5.096508026123047,6027.656552788546,10240,10240,0,1,0.3333333333333333
252,A_10kB,10240,5.095756530761719,6028.5454798618375,10240,10240,0,1,0.3333333333333333
253,A_10kB,10240,5.024596691131592,6113.923542206038,10240,10240,0,1,0.3333333333333333
254,A_10kB,10240,5.060410976409912,6070.653182756745,10240,10240,0,1,0.3333333333333333
255,A_10kB,10240,5.069108486175537,6060.237235754477,10240,10240,0,1,0.3333333333333333
256,A_10kB,10240,5.098659038543701,6025.113616692119,10240,10240,0,1,0.3333333333333333
257,A_10kB,10240,5.140995740890503,5975.496100037383,10240,10240,0,1,0.3333333333333333
258,A_10kB,10240,5.057234525680542,6074.466162090054,10240,10240,0,1,0.3333333333333333
259,A_10kB,10240,5.041881084442139,6092.964011942584,10240,10240,0,1,0.3333333333333333
260,A_10kB,10240,5.0686914920806885,6060.7358029181405,10240,10240,0,1,0.3333333333333333
261,A_10kB,10240,5.092601776123047,6032.280031011353,10240,10240,0,1,0.3333333333333333
262,A_10kB,10240,5.107156753540039,6015.088528212171,10240,10240,0,1,0.3333333333333333
263,A_10kB,10240,5.020983457565308,6118.323284597363,10240,10240,0,1,0.3333333333333333
264,A_10kB,10240,5.0452001094818115,6088.955707081998,10240,10240,0,1,0.3333333333333333
265,A_10kB,10240,5.037736415863037,6097.976841993473,10240,10240,0,1,0.3333333333333333
266,A_10kB,10240,5.033958435058594,6102.553367555254,10240,10240,0,1,0.3333333333333333
267,A_10kB,10240,5.0261781215667725,6111.999864904089,10240,10240,0,1,0.3333333333333333
268,A_10kB,10240,5.091362476348877,6033.748361603583,10240,10240,0,1,0.3333333333333333
269,A_10kB,10240,5.050718545913696,6082.302888339351,10240,10240,0,1,0.3333333333333333
270,A_10kB,10240,5.09686803817749,6027.230795440544,10240,10240,0,1,0.3333333333333333
271,A_10kB,10240,5.019468784332275,6120.169547799387,10240,10240,0,1,0.3333333333333333
272,A_10kB,10240,5.047484397888184,6086.2000906536605,10240,10240,0,1,0.3333333333333333
273,A_10kB,10240,5.090618371963501,6034.630324910999,10240,10240,0,1,0.3333333333333333
274,A_10kB,10240,5.088479518890381,6037.166875872374,10240,10240,0,1,0.3333333333333333
275,A_10kB,10240,5.181371688842773,5928.9319208947,10240,10240,0,1,0.3333333333333333
276,A_10kB,10240,5.10351300239563,6019.3831162142205,10240,10240,0,1,0.3333333333333333
